Repository,Tag,Base Image,Aliases,Dockerfile
757835444551.dkr.ecr.eu-central-1.amazonaws.com/activemq-artemis,2.25.0-6,openjdk:19-jdk-bullseye,757835444551.dkr.ecr.eu-central-1.amazonaws.com/activemq-artemis:2.25-latest 757835444551.dkr.ecr.eu-central-1.amazonaws.com/activemq-artemis:2-latest 757835444551.dkr.ecr.eu-central-1.amazonaws.com/activemq-artemis:latest,Dockerfile
